"internal_id","text","verse_short_title","probability","V1","date","book_title","scripture_text"
12255,"money to pay the debts i met wi the board of z c mi in the","D&C 104:78",0.532629703,5,1895-03-01,"Doctrine and Covenants","And again, verily I say unto you, concerning your debts--behold it is my will that you shall pay all your debts."
12203,"discused in one of his sermons about the apostles not having the gift of the holy","Alma 9:21",0.51266141,16,1895-02-01,"Alma","Having been visited by the Spirit of God; having conversed with angels, and having been spoken unto by the voice of the Lord; and having the spirit of prophecy, and the spirit of revelation, and also many gifts, the gift of speaking with tongues, and the gift of preaching, and the gift of the Holy Ghost, and the gift of translation;"
12197,"mints i followed for mits read from isaiah sang how beautiful upon the mountains amp c","Mosiah 15:15",0.488078179,17,1897-11-01,"Mosiah","And O how beautiful upon the mountains were their feet!"
12203,"published in the herald amp tribune presidents denial of the slanders in the times was published","Mosiah 15:14",0.462976872,16,1895-02-01,"Mosiah","And these are they who have published peace, who have brought good tidings of good, who have published salvation; and said unto Zion: Thy God reigneth!"
12167,"tithing of the family i went to the office and to the wi the twelve we","D&C 119:3",0.450307016,24,1895-01-01,"Doctrine and Covenants","And this shall be the beginning of the tithing of my people."
12208,"the office being quite busy tues at the office busy most of the day in the","D&C 107:68",0.448267556,14,1897-11-01,"Doctrine and Covenants","Wherefore, the office of a bishop is not equal unto it; for the office of a bishop is in administering all temporal things;"
12173,"covenants you have entered into i will promise you that you will be true and faithful","D&C 108:5",0.447238158,23,1895-01-01,"Doctrine and Covenants","Behold, this is the promise of the Father unto you if you continue faithful."
12203,"her amp sent her i met wi the twelve in the i had an interview wi","D&C 84:101",0.435840434,16,1895-02-01,"Doctrine and Covenants","The earth hath travailed and brought forth her strength;And truth is established in her bowels;And the heavens have smiled upon her;And she is clothed with the glory of her God;For he stands in the midst of his people."
12163,"before riturning home amp did not leave untill pm i attended a family birthday gathering at","D&C 19:36",0.431318868,26,1898-04-01,"Doctrine and Covenants","Leave thy house and home, except when thou shalt desire to see thy family;"
12236,"through my system i was quite sick at night i was allso sick throug quite poorly","D&C 84:68",0.429362297,9,1895-03-01,"Doctrine and Covenants","In my name they shall heal the sick;"
12177,"thronged the streets on the way from east to thsou then to state nor to sou","Hel. 1:31",0.420647935,22,1898-09-01,"Helaman","And now, behold, the Lamanites could not retreat either way, neither on the north, nor on the south, nor on the east, nor on the west, for they were surrounded on every hand by the Nephites."
12173,"god yourselves and your parents through all time and keep the commandments of god and the","D&C 136:21",0.418684259,23,1895-01-01,"Doctrine and Covenants","Keep yourselves from evil to take the name of the Lord in vain, for I am the Lord your God, even the God of your fathers, the God of Abraham and of Isaac and of Jacob."
12167,"thatcher amp others to ordain a high priest then set him apart for a bishop i","D&C 68:22",0.414086614,24,1895-01-01,"Doctrine and Covenants","And again, no bishop or high priest who shall be set apart for this ministry shall be tried or condemned for any crime, save it be before the First Presidency of the church;"
12255,"to pay the debts upon it a committee was appointed to see if they could borrow","D&C 104:78",0.413423089,5,1895-03-01,"Doctrine and Covenants","And again, verily I say unto you, concerning your debts--behold it is my will that you shall pay all your debts."
12244,"a letter from gen figure i mailed letters to to day from father amp","D&C 44:1",0.412379888,7,1895-03-01,"Doctrine and Covenants","Behold, thus saith the Lord unto you my servants, it is expedient in me that the elders of my church should be called together, from the east and from the west, and from the north and from the south, by letter or some other way."
12216,"office i received letters figure from one to father amp amp one to amp had one","Mosiah 18:21",0.411300311,13,1895-02-01,"Mosiah","And he commanded them that there should be no contention one with another, but that they should look forward with one eye, having one faith and one baptism, having their hearts knit together in unity and in love one towards another."
12146,"elected as or of and out of of the council elected are members of the church","Alma 31:17",0.404407838,30,1897-11-01,"Alma","But thou art the same yesterday, today, and forever; and thou hast elected us that we shall be saved, whilst all around us are elected to be cast by thy wrath down to hell; for the which holiness, O God, we thank thee; and we also thank thee that thou hast elected us, that we may not be led away after the foolish traditions of our brethren, which doth bind them down to a belief of Christ, which doth lead their hearts to wander far from thee, our God."
12184,"wi my wife pres amp wife elders amp also bro charles hardy chas m hardy engineer","1 Ne. 16:7",0.401467924,20,1897-11-01,"1 Nephi","And it came to pass that I, Nephi, took one of the daughters of Ishmael to wife; and also, my brethren took of the daughters of Ishmael to wife; and also Zoram took the eldest daughter of Ishmael to wife."
12177,"temple thence west to east temple nor round the to nor temple gate at a m","2 Ne. 5:16",0.400302245,22,1898-09-01,"2 Nephi","And I, Nephi, did build a temple; and I did construct it after the manner of the temple of Solomon save it were not built of so many precious things; for they were not to be found upon the land, wherefore, it could not be built like unto Solomon's temple. But the manner of the construction was like unto the temple of Solomon; and the workmanship thereof was exceedingly fine."
12244,"at the house which was then taken to the and exhibited to the people for hours","3 Ne. 8:19",0.399528303,7,1895-03-01,"3 Nephi","And it came to pass that when the thunderings, and the lightnings, and the storm, and the tempest, and the quakings of the earth did cease--for behold, they did last for about the space of three hours; and it was said by some that the time was greater; nevertheless, all these great and terrible things were done in about the space of three hours--and then behold, there was darkness upon the face of the land."
12153,"called up whare he had preached in a political discourse concerning brother it was represented that","Alma 43:2",0.394681604,28,1895-01-01,"Alma","Now we shall say no more concerning their preaching, except that they preached the word, and the truth, according to the spirit of prophecy and revelation; and they preached after the holy order of God by which they were called."
12236,"through the day some better at nigh i went to the office amp spent the day","D&C 43:17",0.394455015,9,1895-03-01,"Doctrine and Covenants","Hearken ye, for, behold, the great day of the Lord is nigh at hand."
12216,"variety of feelings towards us some of the democrats are are attrying in the east to","D&C 76:100",0.393148165,13,1895-02-01,"Doctrine and Covenants","These are they who say they are some of one and some of another--some of Christ and some of John, and some of Moses, and some of Elias, and some of Esaias, and some of Isaiah, and some of Enoch;"
12173,"are guided by these evil spirits die they go where they are and the evil spirits","D&C 50:2",0.391619216,23,1895-01-01,"Doctrine and Covenants","Behold, verily I say unto you, that there are many spirits which are false spirits, which have gone forth in the earth, deceiving the world."
12153,"weighed to day amp weighed lbs which is to much for heal i met at the","Alma 8:14",0.389162208,28,1895-01-01,"Alma","And it came to pass that while he was journeying thither, being weighed down with sorrow, wading through much tribulation and anguish of soul, because of the wickedness of the people who were in the city of Ammonihah, it came to pass while Alma was thus weighed down with sorrow, behold an angel of the Lord appeared unto him, saying:"
